ProductUID,EAN,NomeProduto,Loja,Store,Country,Preco,Moeda,PrecoUnidade,Unidade,IsPromo,ValidadeDe,ValidadeAte,SourceURL,SourceType,FetchedAt,ChangeType,OldPrice
catalogues-et-promotions,,Catalogues et promotions,Cactus,CACTUS,LU,,EUR,,,TRUE,,,https://www.cactus.lu/fr,folheto,2025-09-12T15:15:13Z,FOLHETO,
depliant-cactus-on-top-back-to-school,,Dépliant Cactus ON TOP - Back to school !,Cactus,CACTUS,LU,,EUR,,,TRUE,,,https://www.cactus.lu/fr/catalogues-et-promotions/depliant-cactus-top-back-school-0,folheto,2025-09-12T15:15:13Z,FOLHETO,
depliant-cactus-on-top-back-to-school,,Dépliant Cactus ON TOP - Back to school,Cactus,CACTUS,LU,,EUR,,,TRUE,,,https://www.cactus.lu/fr/catalogues-et-promotions/depliant-cactus-top-back-school,folheto,2025-09-12T15:15:13Z,FOLHETO,
depliant-special-rentree-des-classes,,Dépliant spécial rentrée des classes,Cactus,CACTUS,LU,,EUR,,,TRUE,,,https://www.cactus.lu/fr/catalogues-et-promotions/depliant-special-rentree-des-classes,folheto,2025-09-12T15:15:13Z,FOLHETO,
beurre-rose,,Beurre rose,Delhaize,DELHAIZE,LU,,EUR,,,TRUE,,,,folheto,2025-09-12T15:15:13Z,FOLHETO,
queues-de-crevettes,,Queues de crevettes,Delhaize,DELHAIZE,LU,,EUR,,,TRUE,,,,folheto,2025-09-12T15:15:13Z,FOLHETO,
yaourt-style-islandais,,Yaourt style islandais,Delhaize,DELHAIZE,LU,,EUR,,,TRUE,,,,folheto,2025-09-12T15:15:13Z,FOLHETO,
biscuits,,Biscuits,Delhaize,DELHAIZE,LU,,EUR,,,TRUE,,,,folheto,2025-09-12T15:15:13Z,FOLHETO,
