ProductUID,NomeProduto,Loja,Preco,Moeda,PrecoUnidade,Unidade,IsPromo,ValidadeDe,ValidadeAte,SourceURL,FetchedAt
spirelli,Spirelli,COLRUYT,,EUR,,,FALSE,,,https://www.colruyt.lu/fr-lu/produits?page=2,2025-09-13T06:28:32.287351Z
spaghetti,spaghetti,COLRUYT,,EUR,,,FALSE,,,https://www.colruyt.lu/fr-lu/produits?page=2,2025-09-13T06:28:32.287351Z
macaroni-coupe,macaroni coupé,COLRUYT,,EUR,,,FALSE,,,https://www.colruyt.lu/fr-lu/produits?page=2,2025-09-13T06:28:32.287351Z
capellini-integral,capellini intégral,COLRUYT,,EUR,,,FALSE,,,https://www.colruyt.lu/fr-lu/produits?page=2,2025-09-13T06:28:32.287351Z
biere-d-abbaye-blonde-8-pcs,"Bière d'abbaye blonde, 8 pcs",ALDI,8.75,EUR,,,FALSE,,,https://www.aldi.lu/fr/produits/assortiment.html,2025-09-13T06:30:04.089821Z
biere-d-abbaye-brune-8-pcs,"Bière d'abbaye brune, 8 pcs",ALDI,9.65,EUR,,,FALSE,,,https://www.aldi.lu/fr/produits/assortiment.html,2025-09-13T06:30:04.089821Z
biere-pils,Bière Pils,ALDI,14.29,EUR,,,FALSE,,,https://www.aldi.lu/fr/produits/assortiment.html,2025-09-13T06:30:04.089821Z
biere-pils-24-pcs,"Bière pils, 24 pcs",ALDI,13.89,EUR,,,FALSE,,,https://www.aldi.lu/fr/produits/produits-portugais.html,2025-09-13T06:32:06.996065Z
christmas,Christmas,ALDI,6.99,EUR,,,FALSE,,,https://www.aldi.lu/fr/produits/qualite-luxembourgeoise.html,2025-09-13T06:32:32.848092Z
corona-extra-6-pcs,"Corona Extra, 6 pcs",ALDI,7.89,EUR,,,FALSE,,,https://www.aldi.lu/fr/produits/assortiment.html,2025-09-13T06:30:04.089821Z
gambrinus,Gambrinus,ALDI,8.95,EUR,,,FALSE,,,https://www.aldi.lu/fr/produits/qualite-luxembourgeoise.html,2025-09-13T06:32:32.848092Z
panache-10-pcs,"Panaché, 10 pcs",ALDI,3.69,EUR,,,FALSE,,,https://www.aldi.lu/fr/produits/assortiment.html,2025-09-13T06:30:04.089821Z
pils,Pils,ALDI,1.27,EUR,,,FALSE,,,https://www.aldi.lu/fr/produits/qualite-luxembourgeoise.html,2025-09-13T06:32:32.848092Z
pils-24-pcs,"Pils, 24 pcs",ALDI,17.19,EUR,,,FALSE,,,https://www.aldi.lu/fr/produits/produits-portugais.html,2025-09-13T06:32:06.996065Z
pils-6-pcs,"Pils, 6 pcs",ALDI,7.99,EUR,,,FALSE,,,https://www.aldi.lu/fr/produits/qualite-luxembourgeoise.html,2025-09-13T06:32:32.848092Z
pils-8-pcs,"Pils, 8 pcs",ALDI,10.09,EUR,,,FALSE,,,https://www.aldi.lu/fr/produits/qualite-luxembourgeoise.html,2025-09-13T06:32:32.848092Z
pils-0-0,"Pils 0,0 %",ALDI,5.99,EUR,,,FALSE,,,https://www.aldi.lu/fr/produits/qualite-luxembourgeoise.html,2025-09-13T06:32:32.848092Z
liquide-vaisselle,Liquide vaisselle,ALDI,0.79,EUR,,,FALSE,,,https://www.aldi.lu/fr/produits/prix-reduit.html,2025-09-13T06:30:14.988095Z
filet-de-saumon-frais,Filet de saumon frais,ALDI,5.79,EUR,,,FALSE,,,https://www.aldi.lu/fr/produits/prix-reduit.html,2025-09-13T06:30:14.988095Z
lessive-liquide,Lessive liquide,ALDI,2.89,EUR,,,FALSE,,,https://www.aldi.lu/fr/produits/prix-reduit.html,2025-09-13T06:30:14.988095Z
baguette-multicereales,Baguette multicéréales,ALDI,0.65,EUR,,,FALSE,,,https://www.aldi.lu/fr/produits/prix-reduit.html,2025-09-13T06:30:14.988095Z
eau-petillante-au-gout-citron-6-pcs,"Eau pétillante au goût citron, 6 pcs",ALDI,1.99,EUR,,,FALSE,,,https://www.aldi.lu/fr/produits/prix-reduit.html,2025-09-13T06:30:14.988095Z
chorizo,Chorizo,ALDI,2.19,EUR,,,FALSE,,,https://www.aldi.lu/fr/produits/prix-reduit.html,2025-09-13T06:30:14.988095Z
croquettes-pour-chat-2-kg,"Croquettes pour chat, 2 kg",ALDI,2.75,EUR,,,FALSE,,,https://www.aldi.lu/fr/produits/prix-reduit.html,2025-09-13T06:30:14.988095Z
melange-de-laitue,Mélange de laitue,ALDI,1.35,EUR,,,FALSE,,,https://www.aldi.lu/fr/produits/prix-reduit.html,2025-09-13T06:30:14.988095Z
creme-entiere,Crème entière,ALDI,1.15,EUR,,,FALSE,,,https://www.aldi.lu/fr/produits/prix-reduit.html,2025-09-13T06:30:14.988095Z
crackers-bio,Crackers bio,ALDI,1.79,EUR,,,FALSE,,,https://www.aldi.lu/fr/produits/prix-reduit.html,2025-09-13T06:30:14.988095Z
pruneaux,Pruneaux,ALDI,1.79,EUR,,,FALSE,,,https://www.aldi.lu/fr/produits/prix-reduit.html,2025-09-13T06:30:14.988095Z
saucisses-viennoises,Saucisses viennoises,ALDI,0.89,EUR,,,FALSE,,,https://www.aldi.lu/fr/produits/prix-reduit.html,2025-09-13T06:30:14.988095Z
thon-au-naturel,Thon au naturel,ALDI,1.15,EUR,,,FALSE,,,https://www.aldi.lu/fr/produits/prix-reduit.html,2025-09-13T06:30:14.988095Z
noix-de-cajou,Noix de cajou,ALDI,2.59,EUR,,,FALSE,,,https://www.aldi.lu/fr/produits/prix-reduit.html,2025-09-13T06:30:14.988095Z
ananas-au-jus-pack-de-3,"Ananas au jus, pack de 3",ALDI,2.99,EUR,,,FALSE,,,https://www.aldi.lu/fr/produits/prix-reduit.html,2025-09-13T06:30:14.988095Z
anchois,Anchois,ALDI,2.25,EUR,,,FALSE,,,https://www.aldi.lu/fr/produits/prix-reduit.html,2025-09-13T06:30:14.988095Z
bami-goreng-ou-nasi-goreng,Bami goreng ou nasi goreng,ALDI,3.85,EUR,,,FALSE,,,https://www.aldi.lu/fr/produits/prix-reduit.html,2025-09-13T06:30:14.988095Z
barres-de-chocolat-300-g,"Barres de chocolat, 300 g",ALDI,2.49,EUR,,,FALSE,,,https://www.aldi.lu/fr/produits/prix-reduit.html,2025-09-13T06:30:14.988095Z
batonnets-glaces-star-selection,Bâtonnets glacés Star Selection,ALDI,2.99,EUR,,,FALSE,,,https://www.aldi.lu/fr/produits/prix-reduit.html,2025-09-13T06:30:14.988095Z
biscuits,Biscuits,ALDI,1.49,EUR,,,FALSE,,,https://www.aldi.lu/fr/produits/prix-reduit.html,2025-09-13T06:30:14.988095Z
biscuits-de-l-etudiant,Biscuits de l'étudiant,ALDI,2.49,EUR,,,FALSE,,,https://www.aldi.lu/fr/produits/prix-reduit.html,2025-09-13T06:30:14.988095Z
blocs-w-c-liquides,Blocs W.-C. liquides,ALDI,1.39,EUR,,,FALSE,,,https://www.aldi.lu/fr/produits/prix-reduit.html,2025-09-13T06:30:14.988095Z
brie,Brie,ALDI,1.49,EUR,,,FALSE,,,https://www.aldi.lu/fr/produits/prix-reduit.html,2025-09-13T06:30:14.988095Z
brut,Brut,ALDI,3.79,EUR,,,FALSE,,,https://www.aldi.lu/fr/produits/prix-reduit.html,2025-09-13T06:30:14.988095Z
cafe-soluble,Café soluble,ALDI,2.39,EUR,,,FALSE,,,https://www.aldi.lu/fr/produits/prix-reduit.html,2025-09-13T06:30:14.988095Z
cafe-soluble-cappuccino,Café soluble cappuccino,ALDI,4.29,EUR,,,FALSE,,,https://www.aldi.lu/fr/produits/prix-reduit.html,2025-09-13T06:30:14.988095Z
capsules-de-cafe,Capsules de café,ALDI,2.89,EUR,,,FALSE,,,https://www.aldi.lu/fr/produits/prix-reduit.html,2025-09-13T06:30:14.988095Z
carottes,Carottes,ALDI,1.19,EUR,,,FALSE,,,https://www.aldi.lu/fr/produits/prix-reduit.html,2025-09-13T06:30:14.988095Z
chipeez,Chipeez,ALDI,1.49,EUR,,,FALSE,,,https://www.aldi.lu/fr/produits/prix-reduit.html,2025-09-13T06:30:14.988095Z
chocolat,Chocolat,ALDI,2.19,EUR,,,FALSE,,,https://www.aldi.lu/fr/produits/prix-reduit.html,2025-09-13T06:30:14.988095Z
chourico-corrente,Chouriço corrente,ALDI,1.49,EUR,,,FALSE,,,https://www.aldi.lu/fr/produits/produits-portugais.html,2025-09-13T06:32:06.996065Z
confiture-de-myrtilles,Confiture de myrtilles,ALDI,2.19,EUR,,,FALSE,,,https://www.aldi.lu/fr/produits/prix-reduit.html,2025-09-13T06:30:14.988095Z
cotons-tiges-bio-300-pcs,"Cotons-tiges bio, 300 pcs",ALDI,0.75,EUR,,,FALSE,,,https://www.aldi.lu/fr/produits/prix-reduit.html,2025-09-13T06:30:14.988095Z
couque-aux-noix-de-pecan,Couque aux noix de pécan,ALDI,1.58,EUR,,,FALSE,,,https://www.aldi.lu/fr/produits/prix-reduit.html,2025-09-13T06:30:14.988095Z
creme-legere,Crème légère,ALDI,0.85,EUR,,,FALSE,,,https://www.aldi.lu/fr/produits/prix-reduit.html,2025-09-13T06:30:14.988095Z
culottes-d-incontinence-m-14-pcs,"Culottes d'incontinence M, 14 pcs",ALDI,7.89,EUR,,,FALSE,,,https://www.aldi.lu/fr/produits/prix-reduit.html,2025-09-13T06:30:14.988095Z
demi-peches,Demi-pêches,ALDI,1.99,EUR,,,FALSE,,,https://www.aldi.lu/fr/produits/prix-reduit.html,2025-09-13T06:30:14.988095Z
dentifrice,Dentifrice,ALDI,0.69,EUR,,,FALSE,,,https://www.aldi.lu/fr/produits/prix-reduit.html,2025-09-13T06:30:14.988095Z
dessert-au-babeurre,Dessert au babeurre,ALDI,1.09,EUR,,,FALSE,,,https://www.aldi.lu/fr/produits/prix-reduit.html,2025-09-13T06:30:14.988095Z
disques-d-ouate-140-pcs,"Disques d'ouate, 140 pcs",ALDI,0.59,EUR,,,FALSE,,,https://www.aldi.lu/fr/produits/prix-reduit.html,2025-09-13T06:30:14.988095Z
eau-de-source,Eau de source,ALDI,0.2,EUR,,,FALSE,,,https://www.aldi.lu/fr/produits/produits-couronnes.html,2025-09-13T06:30:42.210477Z
eclairettes,Éclairettes,ALDI,3.29,EUR,,,FALSE,,,https://www.aldi.lu/fr/produits/prix-reduit.html,2025-09-13T06:30:14.988095Z
emmental-rape,Emmental râpé,ALDI,3.39,EUR,,,FALSE,,,https://www.aldi.lu/fr/produits/qualite-luxembourgeoise.html,2025-09-13T06:32:32.848092Z
escalope-de-poulet-4-pcs,"Escalope de poulet, 4 pcs",ALDI,6.09,EUR,,,FALSE,,,https://www.aldi.lu/fr/produits/prix-reduit.html,2025-09-13T06:30:14.988095Z
feuilles-de-lasagne,Feuilles de lasagne,ALDI,1.49,EUR,,,FALSE,,,https://www.aldi.lu/fr/produits/prix-reduit.html,2025-09-13T06:30:14.988095Z
filet-de-poisson-en-sauce,Filet de poisson en sauce,ALDI,4.39,EUR,,,FALSE,,,https://www.aldi.lu/fr/produits/prix-reduit.html,2025-09-13T06:30:14.988095Z
fines-galettes-au-beurre-6-pcs,"Fines galettes au beurre, 6 pcs",ALDI,1.65,EUR,,,FALSE,,,https://www.aldi.lu/fr/produits/prix-reduit.html,2025-09-13T06:30:14.988095Z
fromage-belge-en-tranches,Fromage belge en tranches,ALDI,3.19,EUR,,,FALSE,,,https://www.aldi.lu/fr/produits/prix-reduit.html,2025-09-13T06:30:14.988095Z
fromage-bleu,Fromage bleu,ALDI,2.09,EUR,,,FALSE,,,https://www.aldi.lu/fr/produits/prix-reduit.html,2025-09-13T06:30:14.988095Z
fromage-fondu,Fromage fondu,ALDI,2.79,EUR,,,FALSE,,,https://www.aldi.lu/fr/produits/prix-reduit.html,2025-09-13T06:30:14.988095Z
fromage-fondu-a-l-emmental,Fromage fondu à l'emmental,ALDI,1.79,EUR,,,FALSE,,,https://www.aldi.lu/fr/produits/prix-reduit.html,2025-09-13T06:30:14.988095Z
fromage-rape-a-gratiner,Fromage râpé à gratiner,ALDI,2.65,EUR,,,FALSE,,,https://www.aldi.lu/fr/produits/prix-reduit.html,2025-09-13T06:30:14.988095Z
fromage-rape-pour-spaghetti,Fromage râpé pour spaghetti,ALDI,2.59,EUR,,,FALSE,,,https://www.aldi.lu/fr/produits/prix-reduit.html,2025-09-13T06:30:14.988095Z
frosted-flakes,Frosted flakes,ALDI,2.39,EUR,,,FALSE,,,https://www.aldi.lu/fr/produits/prix-reduit.html,2025-09-13T06:30:14.988095Z
