UID,EAN,Nome,Marca,Rayon,SousRayon,Tamanho,Imagem,Fonte,ScoreInicial
3229820129488,3229820129488,"Muesli Raisin, Figue, Abricot",Bjorg,Épicerie salée,Gama,375 g,https://images.openfoodfacts.org/images/products/322/982/012/9488/front_fr.238.400.jpg,OFF,10.832
3033710084913,3033710084913,Arome MAGGI,Nestlé,Épicerie salée,Gama,200ml,https://images.openfoodfacts.org/images/products/303/371/008/4913/front_en.257.400.jpg,OFF,10.889
3088542500285,3088542500285,Sirop d'érable ambré goût riche,Maple joe,Épicerie salée,Gama,250g - 190ml,https://images.openfoodfacts.org/images/products/308/854/250/0285/front_en.218.400.jpg,OFF,10.846
7622210601988,7622210601988,Granola L'Original,LU,Épicerie salée,Gama,200 g e,https://images.openfoodfacts.org/images/products/762/221/060/1988/front_en.168.400.jpg,OFF,10.849
80052760,80052760,2 Bars Milk and Hazelnuts,Kinder,Épicerie salée,Gama,"43 g (2 x 21,5 g)",https://images.openfoodfacts.org/images/products/000/008/005/2760/front_en.168.400.jpg,OFF,10.855
5010477348678,5010477348678,Special Muesli 30% fruits & noix,Jordans,Épicerie salée,Gama,750 g,https://images.openfoodfacts.org/images/products/501/047/734/8678/front_fr.226.400.jpg,OFF,10.814
5053990101573,5053990101573,Pringles Sare,Pringles,Épicerie salée,Gama,165 g,https://images.openfoodfacts.org/images/products/505/399/010/1573/front_en.44.400.jpg,OFF,10.838
3061990143365,3061990143365,Biscuits goût chocolat,BN,Épicerie sucrée,Gama,285 g,https://images.openfoodfacts.org/images/products/306/199/014/3365/front_en.95.400.jpg,OFF,10.784
8720182556738,8720182556738,Maille Moutarde Fine de Dijon L'Originale Bocal 360g,Maille,Épicerie salée,Gama,360 g,https://images.openfoodfacts.org/images/products/872/018/255/6738/front_fr.46.400.jpg,OFF,10.79
8410076610737,8410076610737,Protein Cacahuetes🥜 & Chocolat🍫,Nature Valley,Boissons,Gama,160 g (4x40 g),https://images.openfoodfacts.org/images/products/841/007/661/0737/front_fr.68.400.jpg,OFF,10.73
3327272107259,3327272107259,Menguy's Beurre de cacahuètes creamy,Menguy's,Épicerie salée,Gama,454 g,https://images.openfoodfacts.org/images/products/332/727/210/7259/front_en.49.400.jpg,OFF,10.724
3229820787015,3229820787015,BjORG AMANDE ALMOND SANS SUGRES- NO SUGAR,BjORG,Épicerie salée,Gama,1 l,https://images.openfoodfacts.org/images/products/322/982/078/7015/front_en.165.400.jpg,OFF,10.753
90338243,90338243,Coca-Cola original taste,Coca-Cola,Boissons,Gama,250 ml,https://images.openfoodfacts.org/images/products/000/009/033/8243/front_fr.71.400.jpg,OFF,10.823
3175680011534,3175680011534,Biscuit lait chocolat,Gerblé,Crèmerie / Laticínios,Gama,230 g,https://images.openfoodfacts.org/images/products/317/568/001/1534/front_en.149.400.jpg,OFF,10.68
5411188119098,5411188119098,Natur mit Kokosnuss,Alpro,Épicerie salée,Gama,"0,5 kg",https://images.openfoodfacts.org/images/products/541/118/811/9098/front_en.393.400.jpg,OFF,10.717
3229820782560,3229820782560,"Muesli SuperFruits Raisins, cassis,cranberry, myrtille",Bjorg,Épicerie salée,Gama,375g,https://images.openfoodfacts.org/images/products/322/982/078/2560/front_fr.195.400.jpg,OFF,10.737
5411188115366,5411188115366,Oat,Alpro,Épicerie salée,Gama,1 l,https://images.openfoodfacts.org/images/products/541/118/811/5366/front_en.230.400.jpg,OFF,10.771
3175681105423,3175681105423,Cookie🍪 cacao pépites Sans Sucre,Gerblé,Épicerie sucrée,Gama,130 g,https://images.openfoodfacts.org/images/products/317/568/110/5423/front_en.80.400.jpg,OFF,10.7
16811207,16811207,petit déjeuner miel et pépites de chocolat,belvita,Boissons,Gama,435 g,https://images.openfoodfacts.org/images/products/000/001/681/1207/front_en.96.400.jpg,OFF,10.659
3392460480827,3392460480827,Biscottes 6 Céréales,Heudebert,Épicerie salée,Gama,300 g,https://images.openfoodfacts.org/images/products/339/246/048/0827/front_en.72.400.jpg,OFF,10.684
7394376616501,7394376616501,Haferdrink Barista,Oatly,Épicerie salée,Gama,1l,https://images.openfoodfacts.org/images/products/739/437/661/6501/front_en.190.400.jpg,OFF,10.69
8715700407760,8715700407760,Tomato Ketchup BIO,Heinz,Bio,Gama,580 g,https://images.openfoodfacts.org/images/products/871/570/040/7760/front_en.141.400.jpg,OFF,10.628
4056489141877,4056489141877,Huile d'olive vierge extra,Lidl,Épicerie salée,Gama,1 L,https://images.openfoodfacts.org/images/products/405/648/914/1877/front_en.93.400.jpg,OFF,10.677
3168930009078,3168930009078,Flocons d'avoine complète,Quaker,Épicerie salée,Gama,550 g,https://images.openfoodfacts.org/images/products/316/893/000/9078/front_en.148.400.jpg,OFF,10.638
5053990167807,5053990167807,Pringles Original,Kellogg's,Épicerie salée,Gama,165g,https://images.openfoodfacts.org/images/products/505/399/016/7807/front_en.86.400.jpg,OFF,10.663
5053990107339,5053990107339,Pringles,PRINGLES,Épicerie salée,Gama,40g,https://images.openfoodfacts.org/images/products/505/399/010/7339/front_fr.86.400.jpg,OFF,10.704
5010477348357,5010477348357,Country Crisp 4 noix,Jordans,Épicerie salée,Gama,550 g,https://images.openfoodfacts.org/images/products/501/047/734/8357/front_fr.209.400.jpg,OFF,10.628
8712100338694,8712100338694,Maizena Fleur de Maïs Sans Gluten 400g,Maïzena,Épicerie salée,Gama,400 g,https://images.openfoodfacts.org/images/products/871/210/033/8694/front_en.258.400.jpg,OFF,10.613
7613035530799,7613035530799,NESQUIK Moins de Sucres,Nestlé,Épicerie sucrée,Gama,350 g,https://images.openfoodfacts.org/images/products/761/303/553/0799/front_en.199.400.jpg,OFF,10.649
3033710065783,3033710065783,Le Choco,Nestlé,Épicerie salée,Gama,500 g,https://images.openfoodfacts.org/images/products/303/371/006/5783/front_en.184.400.jpg,OFF,10.628
20000653,20000653,Doce Extra Morango,Lidl,Épicerie salée,Gama,450g,https://images.openfoodfacts.org/images/products/000/002/000/0653/front_en.176.400.jpg,OFF,10.591
3329757002998,3329757002998,Poudre stevia,Pure Via,Épicerie salée,Gama,250 g,https://images.openfoodfacts.org/images/products/332/975/700/2998/front_fr.142.400.jpg,OFF,10.576
8000500082379,8000500082379,nutella,Ferrero,Épicerie salée,Gama,1000g,https://images.openfoodfacts.org/images/products/800/050/008/2379/front_en.146.400.jpg,OFF,10.617
5060088707685,5060088707685,Barres de fruits secs & noix Myrtilles,Nakd.,Épicerie salée,Gama,140 g,https://images.openfoodfacts.org/images/products/506/008/870/7685/front_en.105.400.jpg,OFF,10.591
5060088700112,5060088700112,Protein Cocoa Hazelnut Bars,Nakd,Épicerie salée,Gama,135 g,https://images.openfoodfacts.org/images/products/506/008/870/0112/front_en.30.400.jpg,OFF,10.591
3251490307002,3251490307002,Goûter pépites de chocolat,Gerblé,Épicerie sucrée,Gama,"3 sachets de 4 biscuits, 250g",https://images.openfoodfacts.org/images/products/325/149/030/7002/front_fr.96.400.jpg,OFF,10.541
3254380008430,3254380008430,"CRISTALINE Eau De Source Pétillante 1,5L",Cristaline,Boissons,Gama,1500 ml,https://images.openfoodfacts.org/images/products/325/438/000/8430/front_fr.192.400.jpg,OFF,10.568
3229820769165,3229820769165,Muesli avoine chocolat bio,Bjorg,Boissons,Gama,375 g,https://images.openfoodfacts.org/images/products/322/982/076/9165/front_en.148.400.jpg,OFF,10.537
87157277,87157277,Tomaten Ketchup,Heinz,Fruits & Légumes,Gama,910g,https://images.openfoodfacts.org/images/products/000/008/715/7277/front_en.53.400.jpg,OFF,10.572
6410500090014,6410500090014,Finn Crisp - Original,Finn Crisp,Épicerie salée,Gama,200 g,https://images.openfoodfacts.org/images/products/641/050/009/0014/front_en.220.400.jpg,OFF,10.561
80761761,80761761,Bueno White,Kinder,Épicerie salée,Gama,39 g,https://images.openfoodfacts.org/images/products/000/008/076/1761/front_en.432.400.jpg,OFF,10.537
5411188118121,5411188118121,"Fermentiertes Sojaprodukt, Ungesüßt",Alpro,Épicerie salée,Gama,0.5 kg,https://images.openfoodfacts.org/images/products/541/118/811/8121/front_en.213.400.jpg,OFF,10.537
3161711001971,3161711001971,Caprice des dieux,Caprice des Dieux,Épicerie salée,Gama,300g,https://images.openfoodfacts.org/images/products/316/171/100/1971/front_en.120.400.jpg,OFF,10.525
4056489028109,4056489028109,Shot de gingembre bio,Solevita,Bio,Gama,150ml,https://images.openfoodfacts.org/images/products/405/648/902/8109/front_en.229.400.jpg,OFF,10.583
3228021170039,3228021170039,PRESIDENT CAMEMBERT 250g,Lactalis,Épicerie salée,Gama,0.25 kg,https://images.openfoodfacts.org/images/products/322/802/117/0039/front_fr.182.400.jpg,OFF,10.513
8445290133403,8445290133403,Nesquik,Nestlé,Épicerie salée,Gama,300 g,https://images.openfoodfacts.org/images/products/844/529/013/3403/front_fr.103.400.jpg,OFF,10.501
5053990127726,5053990127726,Pringles Original,Pringles,Épicerie salée,Gama,165g,https://images.openfoodfacts.org/images/products/505/399/012/7726/front_en.68.400.jpg,OFF,10.525
7622210713889,7622210713889,Belvita Original Petit-Déjeuner miel et pépites de chocolat,LU,Boissons,Gama,440 g,https://images.openfoodfacts.org/images/products/762/221/071/3889/front_fr.208.400.jpg,OFF,10.501
7622210421968,7622210421968,Véritable Petit Écolier Chocolat au Lait,LU,Crèmerie / Laticínios,Gama,150 g (12x 12.5 g) e,https://images.openfoodfacts.org/images/products/762/221/042/1968/front_fr.146.400.jpg,OFF,10.517
3155250364772,3155250364772,Primevère Tartine & Cuisson,Primevère,Épicerie salée,Gama,250 g,https://images.openfoodfacts.org/images/products/315/525/036/4772/front_en.113.400.jpg,OFF,10.485
5060283760072,5060283760072,Proper Corn Sweet & Salty,Popper Corn,Épicerie salée,Gama,28 gram,https://images.openfoodfacts.org/images/products/506/028/376/0072/front_en.23.400.jpg,OFF,10.464
4056489471264,4056489471264,Edelbitter Mild 90%,J.D. Gross,Épicerie salée,Gama,125 g,https://images.openfoodfacts.org/images/products/405/648/947/1264/front_en.122.400.jpg,OFF,10.472
3017760000062,3017760000062,Véritable Petit Beurre Pocket,lu,Épicerie salée,Gama,300 g,https://images.openfoodfacts.org/images/products/301/776/000/0062/front_en.70.400.jpg,OFF,10.455
